Name,Title,Year,Journal,Type,Keywords,Abstract,DOI,Article Affiliation,ORCID,Scopus ID,Google Scholar ID
Alisa Young,Clinical utility of HPV testing in cervical cancer screening,2013,"Handbook on Human Papillomavirus: Prevalence, Detection and Management",Book Chapter,cervical cancer; cytology testing; hpv; hpv testing; screen cervical; test cervical; utility hpv,"Cervical cancer remains the second most common cause of cancer death among women around the world. It has been recognized as a rare outcome of Human Papillomavirus (HPV), a common sexually transmitted infection. Persistent infection with high-risk oncogenic HPV types is a known cause of cervical cancer. The benefits of cytological screening for cervical cancer are well known. However, the necessary resources, infrastructure and technological expertise, together with the need for repeated screening at regular intervals, make cytological screening resource intense. HPV DNA testing is a viable alternative to cytological screening. With optimal testing systems, HPV DNA can be identified in nearly all specimens of invasive cervical cancer and in the vast majority (>95%) of the immediate cervical cancer precursors, namely high-grade squamous intraepithelial lesions (HSILs). HPV DNA testing has been shown to decrease cervical cancer mortality. In this chapter, the clinical utility of HPV DNA testing for cervical cancer will be reviewed with a focus on primary screening, combination with cytology (co-testing), triage for abnormal cytology, and post-treatment surveillance. The review focuses on cost and patient outcomes in a wide variety of resource settings, contrasting HPV testing to other screening strategies. Technology exists today, which could eradicate death from cervical cancer. It is time to act. © 2013 by Nova Science Publishers, Inc. All rights reserved.",,University of Michigan Medical School,0000-0001-8336-478X,55939874100,
Alisa Young,Diagnosis and management of pancreatic cancer,2014,American Family Physician,Article,cancer; diagnosis; management pancreatic; pancreatic; pancreatic resection; resection pancrea; stage pancreatic; treatment pancreatic,"Pancreatic cancer remains the fourth leading cause of cancer-related deaths in the United States. Risk factors include family history, smoking, chronic pancreatitis, obesity, diabetes mellitus, heavy alcohol use, and possible dietary factors. Because more than two-thirds of adenocarcinomas occur in the head of the pancreas, abdominal pain, jaundice, pruritus, dark urine, and acholic stools may be presenting symptoms. In symptomatic patients, the serum tumor marker cancer antigen 19-9 can be used to confirm the diagnosis and to predict prognosis and recurrence after resection. Pancreas protocol computed tomography is considered standard for the diagnosis and staging of pancreatic cancer. Although surgical resection is the only potentially curative treatment for pancreatic ductal adenocarcinomas, less than 20% of surgical candidates survive five years. The decision on resectability requires multidisciplinary consultation. Pancreatic resections should be performed at institutions that complete at least 15 of the surgeries annually. Postoperatively, use of gemcitabine or fluorouracil/leucovorin as adjuvant chemotherapy improves overall survival by several months. However, more than 80% of patients present with disease that is not surgically resectable. For patients with locally advanced or metastatic disease, chemoradiotherapy with gemcitabine or irinotecan provides clinical benefit and modest survival improvement. Palliation should address pain control, biliary and gastric outlet obstruction, malnutrition, thromboembolic disease, and depression. © 2014 American Academy of Family Physicians.",,Sidney Kimmel Medical College,0000-0001-8336-478X,55939874100,
Alisa Young,Diseases of the pancreas,2016,Family Medicine: Principles and Practice,Book Chapter,disease; disease pancrea; pancreatic; pancreatic cyst; pancreatic disease; pancreatitis; pancreatitis pancreatic,"Springer International Publishing Switzerland 2017.Pancreatic disease causes significant health issues ranging from pancreatitis and pancreatic cysts to cancer. To reduce this burden, family physicians need a systematic approach to evaluation and treatment.",10.1007/978-3-319-04414-9_96,University of Michigan Medical School,0009-0002-1116-955X,55939874100,
Alisa Young,Human papillomavirus (HPV) testing for normal cervical cytology in low-risk women aged 30-65 years by family physicians,2013,Journal of the American Board of Family Medicine,Article,diagnostic use; human papilloma virus dna probe; mass screening; vaginal smear,"Purpose: The purpose of this study was to assess ordering of human papillomavirus (HPV) testing for normal cervical cytology among low-risk women aged 30 to 65 years. Methods: Audits of 833 cytology request forms for low-risk women completing a Papanicolaou smear, from January 2008 to April 2011, from 5 Michigan family medicine clinics determined HPV orders completed by the clinician performing the Papanicolaou smear. Multivariate logistic regression models examined differences in HPV test ordering by patient age at Papanicolaou test, provider status and sex, and clinic across sites. A Poisson regression model analyzed the annual number of HPV test orders over time. Results: Cytology requests were completed by 622 faculty (75%), 169 residents/fellows (20%), and 42 nurse practitioner/physician assistants (NP/PAs) (5%). HPV testing for any cytology result was ordered on 324 request forms (39%) by residents/fellows (48%), faculty (38%), and NP/PAs (10%). Female providers were twice as likely as men to order HPV testing for any cytology result across all clinics and provider statuses (P < .001). There were significant differences in HPV test ordering among clinics. Between 2008 and 2011 annual cytology requests increased 46%, including HPV testing for any cytology result after adjusting for faculty provider sex. Conclusion: HPV test ordering when cytology is collected varied by clinic and provider status and sex. HPV co-testing for any cytology result remains modest, but is increasing over time in these clinics.",10.3122/jabfm.2013.06.120260,Sidney Kimmel Medical College,0000-0001-8336-478X,55939874100,
Alisa Young,Impact of an electronic health record (EHR) reminder on human papillomavirus (HPV) vaccine initiation and timely completion,2015,Journal of the American Board of Family Medicine,Article,human papillomavirus vaccine; vaccination,"2015, American Board of Family Medicine. All rights reserved.Background: The initiation and timely completion of the human papillomavirus (HPV) vaccine in young women is critical. We compared the initiation and completion of the HPV vaccine among women in 2 community-based networks with electronic health records: 1 with a prompt and reminder system (prompted cohort) and 1 without (unprompted cohort). Methods: Female patients aged 9 to 26 years seen between March 1, 2007, and January 25, 2010, were used as the retrospective cohort. Patient demographics and vaccination dates were extracted from the electronic health records. Results: Patients eligible for the vaccine included 6019 from the prompted cohort and 9096 from the unprompted cohort. Mean age at initiation was 17.3 years in the prompted cohort and 18.1 years in the unprompted cohort. Significantly more (P <.001) patients initiated the vaccine in the prompted cohort (34.9%) compared with the unprompted cohort (21.5%). African Americans aged 9 to 18 years with ≥3 visits during the observation period were significantly more likely to initiate in the prompted cohort (P <.001). The prompted cohort was significantly more likely (P <.001) to complete the vaccine series in a timely manner compared with the unprompted cohort. Conclusion: More patients aged 9 to 26 years initiated and achieved timely completion of the HPV vaccine series in clinics using an electronic health record system with prompts compared with clinics without prompts.",10.3122/jabfm.2015.03.140082,"University of Michigan, Ann Arbor",0009-0002-1116-955X,55939874100,
Alisa Young,It Is Time to Switch to Primary HPV Screening for Cervical Cancer,2024,American Family Physician,Editorial,cervical cancer; hpv; hpv screening; primary hpv; screen cervical,,,University of Michigan Medical School,0009-0002-1116-955X,55939874100,
Amal Othman,A Primary Care-Based Weight Navigation Program,2024,JAMA Netw Open,,base weight; care base; navigation program; primary care; weight navigation,,10.1001/jamanetworkopen.2024.12192,,,,
Amal Othman,Child Developmental Delays and Disorders: Speech and Language Delay,2021,FP essentials,,child; child development; language; speech,,,,,,15689902
Amal Othman,Primary care providers' perceived barriers to obesity treatment and opportunities for improvement: A mixed methods study,2023,PLoS One,,obesity,,10.1371/journal.pone.0284474.,,,,7948561
Ananda Sen,A Reliability Growth Model Under Inherent and Assignable-Cause Failures,2023,Recent Advances in Life-Testing and Reliability,Book Chapter,consistency; inherent and assignable - cause failure; maximum likelihood; nonlinear least square; reliability growth,"1995 by Taylor & Francis Group, LLC.A reliability growth (RG) model is an essential tool for tracking the improvement of a system at its developmental stage. In many situations, however, the standard models do not adequately represent the failure mechanism in a real operational setting. In the test-fix-retest setting of observing the failure process of a system, we propose a stochastic model of RG from the consideration of inherent and assignable failure causes. Essentially, this model can be viewed as a two-component series system, where one component pertains to reliability growth following an intervention while the life distribution of the other does not change from one stage to another. For the component exhibiting growth in reliability, a parametric step-intensity structure is assumed which provides a stochastic basis for the Duane plot. Exact and large sample properties of the estimates of the model parameters based on maximum likelihood and nonlinear least squares are investigated. Certain irregularities and pathologies shared by the estimates are pointed out. Extensive simulation study has been carried out and the numerical findings are provided as a supplement to the theoretical results.",10.1201/9781003418313_16,Oakland University,0000-0002-9632-6704,55443624400,
Ananda Sen,Cervical cancer screening: Impact of collection technique on human papillomavirus detection and genotyping,2025,Preventive Medicine Reports,Article,agreement .; cervical cancer screening; kappa .; primary hpv; self - sampling .; sensitivity .; specificity .,"2025Background: The Food and Drug Administration (FDA) in the US approved primary human papillomavirus (HPV) testing for speculum-based cervical cancer screening ten years ago and, in May 2024, approved the self-collection technique. Our study defines the kappa agreement between self- and speculum-based collection techniques for 15 types of high-risk HPV. Additionally, we describe the sensitivity and specificity ratios for HPV testing using both collection methods. Methods: Participants recruited in 2020–2022 included 97 colposcopy attendees and 96 routine primary care screening attendees aged 30–65, who agreed to self-sample before their clinically scheduled speculum-based exam. Prevalence-based kappa calculated agreement, sensitivity and specificity ratios calculated accuracy using the cervical intraepithelial neoplasia grade 2 or worse (CIN 2+) threshold. Results: The average ages were 45.9 (SD 10.5) and 46.2 (SD 11.0) years for the colposcopy and primary care attendees, respectively. HPV 16, 68, and 39 were the most common types detected. The lower bound of the 95 % Cl for kappa calculations was above 0.81, indicating almost perfect agreement across all HPV genotypes. The sensitivity and specificity ratios were consistent at 1.0 across both collection methods. The HPV positivity rate was significantly higher among colposcopy attendees at 66 % (64/97), compared to 14 % (13/96) among routine primary care screeners. The study identified 17 women with CIN2 + . Conclusions: Primary HPV screening with self-collection is equivalent to speculum-based collection among people aged 30–65. The findings emphasize the utility of self-collection in identifying high-grade lesions and the consistency of HPV detection across different collection methods.",10.1016/j.pmedr.2025.102971,University of Michigan Medical School,0000-0002-9632-6704,55443624400,
Ananda Sen,Comparing very low-carbohydrate vs dash diets for overweight or obese adults with hypertension and prediabetes or type 2 diabetes: A randomized trial,2023,Annals of Family Medicine,Article,dash diet; diet; hypertension; low carbohydrate diet; obesity; type 1,"2023, Annals of Family Medicine, Inc. All rights reserved.PURPOSE Adults with a triple multimorbidity (hypertension, prediabetes or type 2 diabetes, and overweight or obesity), are at increased risk of serious health complications, but experts disagree on which dietary patterns and support strategies should be recommended. METHODS We randomized 94 adults from southeast Michigan with this triple multimorbidity using a 2 × 2 diet-by-support factorial design, comparing a very low-carbohydrate (VLC) diet vs a Dietary Approaches to Stop Hypertension (DASH) diet, as well as comparing results with and without multicomponent extra support (mindful eating, positive emotion regulation, social support, and cooking). RESULTS Using intention-to-treat analyses, compared with the DASH diet, the VLC diet led to greater improvement in estimated mean systolic blood pressure (–9.77 mm Hg vs –5.18 mm Hg; P =.046), greater improvement in glycated hemoglobin (–0.35% vs –0.14%; P =.034), and greater improvement in weight (–19.14 lb vs –10.34 lb; P =.0003). The addition of extra support did not have a statistically significant effect on outcomes. CONCLUSIONS For adults with hypertension, prediabetes or type 2 diabetes, and overweight or obesity, the VLC diet resulted in greater improvements in systolic blood pressure, glycemic control, and weight over a 4-month period compared with the DASH diet. These findings suggest that larger trials with longer follow-up are warranted to determine whether the VLC diet might be more beneficial for disease management than the DASH diet for these high-risk adults.",10.1370/afm.2968,University of Michigan School of Nursing,0000-0002-9632-6704,55443624400,
Ananda Sen,Continuous Glucose Monitoring with Low-Carbohydrate Nutritional Coaching to Improve Type 2 Diabetes Control: Randomized Quality Improvement Program,2022,Journal of Medical Internet Research,Article,continuous glucose monitoring; diabete mellitus; low - carbohydrate counseling,"Dina H Griauzde, Grace Ling, Daniel Wray, Melissa DeJonckheere, Kara Mizokami Stout, Laura R Saslow, Jill Fenske, David Serlin, Spring Stonebraker, Tabassum Nisha, Colton Barry, Rodica Pop-Busui, Ananda Sen, Caroline R Richardson.Background: Type 2 diabetes mellitus (T2DM) is a leading cause of morbidity and mortality globally, with adverse health consequences largely related to hyperglycemia. Despite clinical practice guideline recommendations, effective pharmacotherapy, and interventions to support patients and providers, up to 60% of patients diagnosed with T2DM are estimated to have hemoglobin A1c (HbA1c) levels above the recommended targets owing to multilevel barriers hindering optimal glycemic control. Objective: The aim of this study is to compare changes in HbA1c levels among patients with suboptimally controlled T2DM who were offered the opportunity to use an intermittently viewed continuous glucose monitor and receive personalized low-carbohydrate nutrition counseling (<100 g/day) versus those who received usual care (UC). Methods: This was a 12-month, pragmatic, randomized quality improvement program. All adult patients with T2DM who received primary care at a university-affiliated primary care clinic (N=1584) were randomized to either the UC or the enhanced care (EC) group. Within each program arm, we identified individuals with HbA1c >7.5% (58 mmol/mol) who were medically eligible for tighter glycemic control, and we defined these subgroups as UC–high risk (UC-HR) or EC-HR. UC-HR participants (n=197) received routine primary care. EC-HR participants (n=185) were invited to use an intermittently viewed continuous glucose monitor and receive low-carbohydrate nutrition counseling. The primary outcome was mean change in HbA1c levels from baseline to 12 months using an intention-to-treat difference-in-differences analysis comparing EC-HR with UC-HR groups. We conducted follow-up semistructured interviews to understand EC-HR participant experiences with the intervention. Results: HbA1c decreased by 0.41% (4.5 mmol/mol; P=.04) more from baseline to 12 months among participants in the EC-HR group than among those in UC-HR; however, only 61 (32.9%) of 185 EC-HR participants engaged in the program. Among the EC-HR participants who wore continuous glucose monitors (61/185, 32.9%), HbA1c was 1.1% lower at 12 months compared with baseline (P<.001). Interviews revealed themes related to EC-HR participants’ program engagement and continuous glucose monitor use. Conclusions: Among patients with suboptimally controlled T2DM, a combined approach that includes continuous glucose monitoring and low-carbohydrate nutrition counseling can improve glycemic control compared with the standard of care.",10.2196/31184,VA Ann Arbor Healthcare System,0000-0002-9632-6704,55443624400,
Ananda Sen,Erratum: Correction: The Effect of an mHealth Self-Monitoring Intervention (MI-BP) on Blood Pressure Among Black Individuals With Uncontrolled Hypertension: Randomized Controlled Trial (JMIR mHealth and uHealth (2024) 12 DOI: 10.2196/57863),2024,JMIR mHealth and uHealth,Erratum,erratum; erratum correction; https mhealth; hypertension; hypertension randomize; jmir mhealth; mhealth; mhealth uhealth; uncontrolle hypertension,"Lorraine R Buis, Junhan Kim, Ananda Sen, Dongru Chen, Katee Dawood, Reema Kadri, Rachelle Muladore, Melissa Plegue, Caroline R Richardson, Zora Djuric, Candace McNaughton, David Hutton, Lionel P Robert, Sun Young Park, Phillip Levy. Originally published in JMIR mHealth and uHealth (https://mhealth.jmir.org), 06.08.2024.[This corrects the article DOI: 10.2196/57863.].",10.2196/64632,University of Michigan Medical School,0000-0002-9632-6704,55443624400,
Ananda Sen,Host factors are associated with vaginal microbiome structure in pregnancy in the ECHO Cohort Consortium,2024,Scientific Reports,Article,16 rrna gene amplicon sequence data; echo cohort; host factor; meta - analysis; pregnancy; vaginal microbiota structure,"The Author(s) 2024.Using pooled vaginal microbiota data from pregnancy cohorts (N = 683 participants) in the Environmental influences on Child Health Outcomes (ECHO) Program, we analyzed 16S rRNA gene amplicon sequences to identify clinical and demographic host factors that associate with vaginal microbiota structure in pregnancy both within and across diverse cohorts. Using PERMANOVA models, we assessed factors associated with vaginal community structure in pregnancy, examined whether host factors were conserved across populations, and tested the independent and combined effects of host factors on vaginal community state types (CSTs) using multinomial logistic regression models. Demographic and social factors explained a larger amount of variation in the vaginal microbiome in pregnancy than clinical factors. After adjustment, lower education, rather than self-identified race, remained a robust predictor of L. iners dominant (CST III) and diverse (CST IV) (OR = 8.44, 95% CI = 4.06–17.6 and OR = 4.18, 95% CI = 1.88–9.26, respectively). In random forest models, we identified specific taxonomic features of host factors, particularly urogenital pathogens associated with pregnancy complications (Aerococcus christensenii and Gardnerella spp.) among other facultative anaerobes and key markers of community instability (L. iners). Sociodemographic factors were robustly associated with vaginal microbiota structure in pregnancy and should be considered as sources of variation in human microbiome studies.",10.1038/s41598-024-62537-7,University of Michigan Medical School,0000-0002-9632-6704,55443624400,
Ananda Sen,Identifying genes associated with disease outcomes using joint sparse canonical correlation analysis—An application in renal clear cell carcinoma,2024,Genetic Epidemiology,Article,interaction; pathway; sparse caonical correlation,"2024 The Authors. Genetic Epidemiology published by Wiley Periodicals LLC.Somatic changes like copy number aberrations (CNAs) and epigenetic alterations like methylation have pivotal effects on disease outcomes and prognosis in cancer, by regulating gene expressions, that drive critical biological processes. To identify potential biomarkers and molecular targets and understand how they impact disease outcomes, it is important to identify key groups of CNAs, the associated methylation, and the gene expressions they impact, through a joint integrative analysis. Here, we propose a novel analysis pipeline, the joint sparse canonical correlation analysis (jsCCA), an extension of sCCA, to effectively identify an ensemble of CNAs, methylation sites and gene (expression) components in the context of disease endpoints, especially tumor characteristics. Our approach detects potentially orthogonal gene components that are highly correlated with sets of methylation sites which in turn are correlated with sets of CNA sites. It then identifies the genes within these components that are associated with the outcome. Further, we aggregate the effect of each gene expression set on tumor stage by constructing “gene component scores” and test its interaction with traditional risk factors. Analyzing clinical and genomic data on 515 renal clear cell carcinoma (ccRCC) patients from the TCGA-KIRC, we found eight gene components to be associated with methylation sites, regulated by groups of proximally located CNA sites. Association analysis with tumor stage at diagnosis identified a novel association of expression of ASAH1 gene trans-regulated by methylation of several genes including SIX5 and by CNAs in the 10q25 region including TCF7L2. Further analysis to quantify the overall effect of gene sets on tumor stage, revealed that two of the eight gene components have significant interaction with smoking in relation to tumor stage. These gene components represent distinct biological functions including immune function, inflammatory responses, and hypoxia-regulated pathways. Our findings suggest that jsCCA analysis can identify interpretable and important genes, regulatory structures, and clinically consequential pathways. Such methods are warranted for comprehensive analysis of multimodal data especially in cancer genomics.",10.1002/gepi.22566,National Cancer Institute (NCI),0000-0002-9632-6704,55443624400,
Ananda Sen,Learning Obstetrical Cervical Exam Skills: Development of a Novel Model to Demystify Blind Procedures,2023,Family Medicine,Article,blind procedure; cervical; cervical exam; cervical examination; learn obstetrical; obstetrical cervical; sterile cervical; teach cervical; vaginal exam,"Society of Teachers of Family Medicine.Background and Objectives: Obstetric care is a core element in family medicine education. New interns typically learn the sterile cervical exam on the job by examining women in labor. This can be uncomfortable for patients and may increase the risk of infection. Simulated training could minimize these challenges, but manufactured models are expensive and not widely available in residency programs. We sought to evaluate a simple, homemade sewn model using stretchy fabric and pipe cleaners that could improve teaching and acquisition of cervical examination skills and common obstetrical procedures. Methods: We used the model to teach cervical examination skills to students and new interns and assessed participant satisfaction. We evaluated examination accuracy by grading practice exams on the model before and after a workshop teaching obstetrical procedures including the sterile vaginal exam. We calculated satisfaction using summary statistics. We evaluated pre-and postscores for exam accuracy using paired t tests. Results: Interns demonstrated a significant improvement in cervical exam skills using the model, and participants reported very high satisfaction with the workshop utilizing the model. Conclusions: We developed a simple, low-cost cervical exam model that was shown to be well-regarded by trainees and could be duplicated by other residency programs. This approach provides a unique and accessible way to offer hands-on simulation during obstetrical training. The model may improve trainees’ understanding of the procedures which would lead to better experiences for obstetrical patients.",10.22454/FamMed.55.284433,University of Michigan Medical School,0000-0002-9632-6704,55443624400,
Ananda Sen,Patient-Reported Reasons for Sending Portal Messages: A Survey of Use in a Family Medicine Department,2024,Journal of General Internal Medicine,Article,family medicine; patient report; portal message; reason send; send portal,,10.1007/s11606-024-08815-6,University of Michigan Medical School,0000-0002-9632-6704,55443624400,
