Name,Author ID,Title,Year,Venue,keywords
"James E. Aikens, Ph.D.",6953599,Methodology for task-shifting evidence-based psychological treatments to non-licenced/lay health workers: protocol for a systematic review,2021,BMJ Open,"['Tin', 'Work', 'Logic']"
"James E. Aikens, Ph.D.",6953599,Impact of an online multicomponent very-low-carbohydrate program in women with polycystic ovary syndrome: a pilot study,2021,F&S Reports,"['Ovary', 'Hydra', 'Polycystic Ovary Syndrome']"
"James E. Aikens, Ph.D.",6953599,Technology-Facilitated Depression Self-Management Linked with Lay Supporters and Primary Care Clinics: Randomized Controlled Trial in a Low-Income Sample.,2021,Telemedicine journal and e-health,"['Ink', 'Technology']"
"James E. Aikens, Ph.D.",6953599,Impacts of Post-Hospitalization Accessible Health Technology and Caregiver Support on 90-Day Acute Care Use and Self-Care Assistance: A Randomized Clinical Trial.,2020,American Journal of Medical Quality,"['Hospitalization', 'Technology']"
"James E. Aikens, Ph.D.",6953599,Functional support and burden among out-of-home supporters of heart failure patients with and without depression.,2020,Health Psychology,"['Ear', 'Heart', 'Heart Failure', 'Art']"
"James E. Aikens, Ph.D.",6953599,Dietary weight loss strategies for self and patients: A cross-sectional survey of female physicians,2020,,"['Weight Loss', 'Diet']"
"James E. Aikens, Ph.D.",6953599,Front & Back Matter,2019,Medical Principles and Practice,[]
"James E. Aikens, Ph.D.",6953599,Front & Back Matter,2019,Medical Principles and Practice,[]
"James E. Aikens, Ph.D.",6953599,Impact of using a broad-based multi-institutional approach to build capacity for non-communicable disease research in Thailand,2019,Health Research Policy and Systems,"['Ear', 'Research']"
"James E. Aikens, Ph.D.",6953599,"Contents Vol. 28, 2019",2019,Medical Principles and Practice,[]
"James E. Aikens, Ph.D.",6953599,Intervention Enhancement Strategies Among Adults With Type 2 Diabetes in a Very Low–Carbohydrate Web-Based Program: Evaluating the Impact With a Randomized Trial,2019,JMIR Diabetes,"['Hydra', 'Tin', 'Adult']"
"James E. Aikens, Ph.D.",6953599,Front & Back Matter,2019,Medical Principles and Practice,[]
"James E. Aikens, Ph.D.",6953599,Attitudes Toward Medication-Depression Inventory,2019,,['Attitude']
"James E. Aikens, Ph.D.",6953599,"Contents Vol. 27, 2018",2019,Medical Principles and Practice,[]
"James E. Aikens, Ph.D.",6953599,Feasibility study of automated interactive voice response telephone calls with community health nurse follow-up to improve glycaemic control in patients with type 2 diabetes.,2019,International Journal of Nursing Practice,['Telephone']
"James E. Aikens, Ph.D.",6953599,Effects of Accessible Health Technology and Caregiver Support Posthospitalization on 30-Day Readmission Risk: A Randomized Trial.,2019,Joint Commission Journal on Quality and Patient Safety,"['Hospitalization', 'Technology']"
"James E. Aikens, Ph.D.",6953599,Front & Back Matter,2019,Medical Principles and Practice,[]
"James E. Aikens, Ph.D.",6953599,Relationship and communication characteristics associated with agreement between heart failure patients and their Carepartners on patient depressive symptoms,2019,Aging & Mental Health,"['Hip', 'Ear', 'Heart', 'Chara', 'Tics', 'Heart Failure', 'Communication', 'Character', 'Art']"
"James E. Aikens, Ph.D.",6953599,Lifestyle Interventions for Polycystic Ovary Syndrome: Cross-Sectional Survey to Assess Women's Treatment and Outcome Preferences,2019,JMIR Formative Research,"['Ovary', 'Polycystic Ovary Syndrome']"
"Ricardo R. Bartelme, M.D.",87714911,"Anthroposophic Medicine: A Short Monograph and Narrative Review—Foundations, Essential Characteristics, Scientific Basis, Safety, Effectiveness and Misconceptions",2020,Global Advances in Health and Medicine,"['Chara', 'Tics', 'Character', 'Safety', 'Monograph']"
"Aleksandr Belakovskiy, M.D.",40898100,Testosterone Replacement Therapy for Male Hypogonadism.,2024,American Family Physician,['Testosterone']
"Aleksandr Belakovskiy, M.D.",40898100,Telehealth and Medical Education.,2022,Primary Care,['Education']
"Aleksandr Belakovskiy, M.D.",40898100,Socially Distanced Teaching: Faculty Feedback on Teaching During Telemedicine,2022,The journal of the International Association of Medical Science Educators : JIAMSE,"['Chin', 'Tea', 'Feedback', 'Faculty']"
"Catherine M. Bettcher, M.D.",12759753,It Is Time to Switch to Primary HPV Screening for Cervical Cancer.,2024,American Family Physician,['Time']
"Catherine M. Bettcher, M.D.",12759753,Managing food allergy in children: An evidence-based update.,2020,Journal of Family Practice,"['Food', 'Child']"
"Neha V. Bhave, M.D.",77003078,Assessing the Adequacy of Obstructive Sleep Apnea Diagnosis for High-Risk Patients in Primary Care,2022,Journal of the American Board of Family Medicine,[]
"Neha V. Bhave, M.D.",77003078,Peg- Asparaginase induced hepatic injury-A concern for hepatologist,2022,Journal of Clinical and Experimental Hepatology,['Asparaginase']
"Neha V. Bhave, M.D.",77003078,"Value and challenges of embedding hydrogeology-research in agriculture, livelihoods and NRM programmes on East India Plateau (EIP)",2019,,"['Ear', 'Tea', 'Geology', 'Research', 'Culture']"
"Lorraine Buis, Ph.D.",2252596,Virtual Care: Perspectives From Family Physicians.,2024,Family Medicine,['Family']
"Lorraine Buis, Ph.D.",2252596,Telehealth Research Strategies in a Post COVID-19 Era: A Roadmap for the Coming Decade.,2024,Telemedicine journal and e-health,"['Ear', 'Research']"
"Lorraine Buis, Ph.D.",2252596,Correction: The Effect of an mHealth Self-Monitoring Intervention (MI-BP) on Blood Pressure Among Black Individuals With Uncontrolled Hypertension: Randomized Controlled Trial,2024,JMIR mHealth and uHealth,"['Hypertension', 'Blood Pressure']"
"Lorraine Buis, Ph.D.",2252596,Abstract LB375: Multimodality dietary intervention for colorectal cancer prevention: The MyBestGI randomized trial,2024,Cancer Research,['Diet']
"Lorraine Buis, Ph.D.",2252596,Examining telehealth through the Institute of Medicine quality domains: unanswered questions and research agenda,2024,BMJ Quality & Safety,"['Ear', 'Research']"
"Lorraine Buis, Ph.D.",2252596,Human technology intermediation to reduce cognitive load: understanding healthcare staff members’ practices to facilitate telehealth access in a Federally Qualified Health Center patient population,2024,J. Am. Medical Informatics Assoc.,"['Loa', 'Technology']"
"Lorraine Buis, Ph.D.",2252596,The Effect of an mHealth Self-Monitoring Intervention (MI-BP) on Blood Pressure Among Black Individuals With Uncontrolled Hypertension: Randomized Controlled Trial,2024,JMIR mHealth and uHealth,"['Hypertension', 'Blood Pressure']"
"Lorraine Buis, Ph.D.",2252596,Reach Out Emergency Department: A Randomized Factorial Trial to Determine the Optimal Mobile Health Components to Reduce Blood Pressure,2023,Circulation. Cardiovascular Quality and Outcomes,"['Blood Pressure', 'Art']"
"Lorraine Buis, Ph.D.",2252596,Understanding the Effect of an mHealth Approach for HTN Management in Uncontrolled Hypertensive Blacks,2023,HYPERTENSION,[]
"Lorraine Buis, Ph.D.",2252596,Equity in virtual care: A mixed methods study of perspectives from physicians.,2023,Journal of Telemedicine and Telecare,[]
"Lorraine Buis, Ph.D.",2252596,Facilitators and barriers to blood pressure telemonitoring: A mixed-methods study,2023,Digital Health,['Blood Pressure']
"Lorraine Buis, Ph.D.",2252596,Engagement in mHealth-Prompted Self-Measured Blood Pressure Monitoring Among Participants Recruited From a Safety-Net Emergency Department: Secondary Analysis of the Reach Out Trial,2023,JMIR mHealth and uHealth,"['Blood Pressure', 'Art', 'Safety']"
"Lorraine Buis, Ph.D.",2252596,"Identifying Inequities in Video and Audio Telehealth Services for Primary Care Encounters During COVID-19: Repeated Cross-Sectional, Observational Study",2023,Journal of Medical Internet Research,[]
"Lorraine Buis, Ph.D.",2252596,Perceptions of telehealth among older U.S. adults during the COVID-19 pandemic: A national survey,2023,Journal of Telemedicine and Telecare,"['Perception', 'Adult']"
"Lorraine Buis, Ph.D.",2252596,Equitable Research PRAXIS: A Framework for Health Informatics Methods,2022,Yearbook of Medical Informatics,"['Ear', 'Tics', 'Research', 'Work', 'Informatics']"
"Lorraine Buis, Ph.D.",2252596,"Targeting Patients’ Cognitive Load for Telehealth Video Visits Through Student-Delivered Helping Sessions at a United States Federally Qualified Health Center: Equity-Focused, Mixed Methods Pilot Intervention Study",2022,Journal of Medical Internet Research,"['Loa', 'Tin']"
"Lorraine Buis, Ph.D.",2252596,Abstract 11861: Reach Out Behavioral Intervention for Hypertension Initiated in the Emergency Department Connecting Multiple Health Systems: A Randomized Control Trial,2022,Circulation,"['Hypertension', 'Tin', 'Art']"
"Lorraine Buis, Ph.D.",2252596,Predictors of Smartphone and Tablet Use Among Patients With Hypertension: Secondary Analysis of Health Information National Trends Survey Data,2021,Journal of Medical Internet Research,"['Hypertension', 'Art']"
"Lorraine Buis, Ph.D.",2252596,Perceived benefits of digital interventions for behavioral health: A qualitative interview study (Preprint),2021,,['Interview']
"Lorraine Buis, Ph.D.",2252596,Pharmacogenomic testing for mental health (Part II): qualitative analysis of early adopter prescriber perceptions.,2021,Personalized Medicine,"['Arm', 'Ear', 'Tin', 'Mental Health', 'Perception', 'Art']"
"Lorraine Buis, Ph.D.",2252596,Pharmacogenomic testing for mental health (Part I): documenting early adopter perceptions of use for eight scenarios.,2021,Personalized Medicine,"['Arm', 'Ear', 'Tin', 'Mental Health', 'Perception', 'Art']"
"Lorraine Buis, Ph.D.",2252596,Barriers and Considerations in the Design and Implementation of Digital Behavioral Interventions: Qualitative Analysis,2021,Journal of Medical Internet Research,[]
"Lorraine Buis, Ph.D.",2252596,The Perceived Benefits of Digital Interventions for Behavioral Health: Qualitative Interview Study,2021,Journal of Medical Internet Research,['Interview']
"Lorraine Buis, Ph.D.",2252596,Barriers and considerations in the design and implementation of digital behavioral interventions: A qualitative analysis (Preprint),2021,,[]
"Lorraine Buis, Ph.D.",2252596,Pervasive Healthcare IRBs and Ethics Reviews in Research: Going Beyond the Paperwork,2021,IEEE pervasive computing,"['Ear', 'Research', 'Work', 'Paper']"
"Lorraine Buis, Ph.D.",2252596,Accelerating Mixed Methods Research With Natural Language Processing of Big Text Data,2021,Journal of Mixed Methods Research,"['Ear', 'Tin', 'Language', 'Research']"
"Lorraine Buis, Ph.D.",2252596,Continuous Glucose Monitoring With Low-Carbohydrate Diet Coaching in Adults With Prediabetes: Mixed Methods Pilot Study,2020,JMIR Diabetes,"['Chin', 'Hydra', 'Tin', 'Diet', 'Adult']"
"Lorraine Buis, Ph.D.",2252596,"Consumer Health Informatics Research: A Scoping Review of Informatics, Information Science and Engineering Literature (Preprint)",2020,,"['Ear', 'Tics', 'Research', 'Engineering', 'Literature', 'Informatics']"
"Lorraine Buis, Ph.D.",2252596,Reach out behavioral intervention for hypertension initiated in the emergency department connecting multiple health systems: study protocol for a randomized control trial,2020,Trials,"['Hypertension', 'Tin', 'Art']"
"Lorraine Buis, Ph.D.",2252596,Effect of Adding Telephone-Based Brief Coaching to an mHealth App (Stay Strong) for Promoting Physical Activity Among Veterans: Randomized Controlled Trial (Preprint),2020,,"['Chin', 'Tin', 'Telephone']"
"Lorraine Buis, Ph.D.",2252596,Continuous Glucose Monitoring With Low-Carbohydrate Diet Coaching in Adults With Prediabetes: Mixed Methods Pilot Study (Preprint),2020,,"['Chin', 'Hydra', 'Tin', 'Diet', 'Adult']"
"Lorraine Buis, Ph.D.",2252596,Effect of Adding Telephone-Based Brief Coaching to an mHealth App (Stay Strong) for Promoting Physical Activity Among Veterans: Randomized Controlled Trial,2020,Journal of Medical Internet Research,"['Chin', 'Tin', 'Telephone']"
"Lorraine Buis, Ph.D.",2252596,"Understanding the Feasibility, Acceptability, and Efficacy of a Clinical Pharmacist-led Mobile Approach (BPTrack) to Hypertension Management: Mixed Methods Pilot Study",2020,Journal of Medical Internet Research,"['Arm', 'Hypertension']"
"Lorraine Buis, Ph.D.",2252596,Common Shortcomings in Applying User-Centered Design for Digital Health,2020,IEEE pervasive computing,[]
"Lorraine Buis, Ph.D.",2252596,National Poll on Healthy Aging: Telehealth Use Among Older Adults Before and During COVID-19,2020,,['Adult']
"Lorraine Buis, Ph.D.",2252596,Implementation: The Next Giant Hurdle to Clinical Transformation With Digital Health,2019,Journal of Medical Internet Research,[]
"Lorraine Buis, Ph.D.",2252596,Influence of Scribes on Patient-Physician Communication in Primary Care Encounters: Mixed Methods Study (Preprint),2019,,"['Ribes', 'Communication']"
"Lorraine Buis, Ph.D.",2252596,Deaf Adults’ Health Literacy and Access to Health Information: Protocol for a Multicenter Mixed Methods Study,2019,JMIR Research Protocols,"['Literacy', 'Adult']"
"Lorraine Buis, Ph.D.",2252596,Influence of Scribes on Patient-Physician Communication in Primary Care Encounters: Mixed Methods Study,2019,JMIR Medical Informatics,"['Ribes', 'Communication']"
"Lorraine Buis, Ph.D.",2252596,Assessing Gender Differences in Barriers to Physical Activity Among Veterans of Recent Wars Participating in an Mhealth Intervention Trial,2019,,"['Tin', 'Art']"
"Lorraine Buis, Ph.D.",2252596,Using Pharmacogenomic Testing in Primary Care: Protocol for a Pilot Randomized Controlled Study,2019,JMIR Research Protocols,"['Arm', 'Tin']"
"Lorraine Buis, Ph.D.",2252596,Implementation: The Next Giant Hurdle to Clinical Transformation With Digital Health (Preprint),2019,,[]
"Lorraine Buis, Ph.D.",2252596,Improving Blood Pressure Among African Americans With Hypertension Using a Mobile Health Approach (the MI-BP App): Protocol for a Randomized Controlled Trial,2019,JMIR Research Protocols,"['Hypertension', 'Blood Pressure']"
"Lorraine Buis, Ph.D.",2252596,Protocol Improving Blood Pressure Among African Americans With Hypertension Using a Mobile Health Approach ( the MI-BP App ) : Protocol for a Randomized Controlled Trial,2019,,"['Hypertension', 'Blood Pressure']"
"Juana Nicoll Capizzano, M.D.",2106928266,Point-of-Care Ultrasound Track in an Academic Family Medicine Department.,2024,PRiMER,"['Family', 'Art']"
"Juana Nicoll Capizzano, M.D.",2106928266,The Evolution of Cardiovascular Ultrasound: A Review of Cardiac Point-of-Care Ultrasound (POCUS) Across Specialties.,2023,American Journal of Medicine,[]
"Juana Nicoll Capizzano, M.D.",2106928266,Point of Care Ultrasound Track at One Year in an Academic Family Medicine Department,2023,Education and training,"['Ear', 'Family', 'Art']"
"Juana Nicoll Capizzano, M.D.",2106928266,Patient-centered home cancer screening attitudes during SARS-CoV-2 pandemic.,2022,Annals of Family Medicine,['Attitude']
"Juana Nicoll Capizzano, M.D.",2106928266,Current State of Point-of-Care Ultrasound Use Within Family Medicine,2022,Journal of the American Board of Family Medicine,['Family']
"Juana Nicoll Capizzano, M.D.",2106928266,Degenerative Diseases of the CNS,2021,"Diffusion-Weighted MR Imaging of the Brain, Head and Neck, and Spine",[]
"Juana Nicoll Capizzano, M.D.",2106928266,JM-JABF210069 509..521,2021,,[]
"Juana Nicoll Capizzano, M.D.",2106928266,Health-Related Quality of Life for People With Acute and Chronic Illnesses During the COVID-19 Pandemic,2021,Journal of the American Board of Family Medicine,[]
"Juana Nicoll Capizzano, M.D.",2106928266,Patient-Centered Home Cancer Screening Attitudes During COVID-19 Pandemic.,2021,Journal of Patient-Centered Research and Reviews,['Attitude']
"Kristine L. Cece, M.D., Ph.D.",1581956094,Use of Tablet Video for Delivery of Neonatal Discharge Instructions to First-Time Parents.,2021,Family Medicine,['Time']
"Kristine L. Cece, M.D., Ph.D.",1581956094,What are the most effective treatments for uncomplicated otitis externa?,2019,,['Otitis Externa']
"P. Paul Chandanabhumma, Ph.D., M.P.H.",51199344,Frontline Providers' and Patients' Perspectives on Improving Diagnostic Safety in the Emergency Department: A Qualitative Study.,2024,Joint Commission Journal on Quality and Patient Safety,"['Art', 'Safety']"
"P. Paul Chandanabhumma, Ph.D., M.P.H.",51199344,Enhancing Qualitative and Quantitative Data Linkages in Complex Mixed Methods Designs: Illustrations from a Multi-Phase Healthcare Delivery Study.,2024,Journal of Mixed Methods Research,['Ink']
"P. Paul Chandanabhumma, Ph.D., M.P.H.",51199344,Structural Racism in Newborn Drug Testing: Perspectives of Health Care and Child Protective Services Professionals.,2024,Annals of Family Medicine,"['Tin', 'Child']"
"P. Paul Chandanabhumma, Ph.D., M.P.H.",51199344,Expanding Our Methodological Toolbox to Improve Quality: The Role of Mixed-Methods Evaluations,2023,Circulation. Cardiovascular Quality and Outcomes,"['Role', 'Logic']"
"P. Paul Chandanabhumma, Ph.D., M.P.H.",51199344,Incidence of Newborn Drug Testing and Variations by Birthing Parent Race and Ethnicity Before and After Recreational Cannabis Legalization,2023,JAMA Network Open,"['Leg', 'Cannabis', 'Tin', 'Recreation']"
"P. Paul Chandanabhumma, Ph.D., M.P.H.",51199344,Structural Racism Impacts Newborn Drug Testing: Comparing the Perspectives of Birthing People and Professionals,2023,Health care disparities,['Tin']
"P. Paul Chandanabhumma, Ph.D., M.P.H.",51199344,Cultivating an Ecosystem: A Qualitative Exploration of Sustainability in Long-Standing Community-Based Participatory Research Partnerships,2023,Progress in Community Health Partnerships Research Education and Action,"['Hip', 'Ear', 'Tin', 'Ecosystem', 'Research', 'Community-Based Participatory Research', 'Ships', 'Art']"
"P. Paul Chandanabhumma, Ph.D., M.P.H.",51199344,Cultivating an ecosystem: A qualitative exploration of sustainability in long-standing community-based participatory research (CBPR) partnerships.,2023,Progress in Community Health Partnerships Research Education and Action,"['Hip', 'Ear', 'Tin', 'Ecosystem', 'Research', 'Community-Based Participatory Research', 'Ships', 'Art']"
"P. Paul Chandanabhumma, Ph.D., M.P.H.",51199344,234 Understanding the utility of an evaluation instrument and a feedback mechanism in community-based participatory research (CBPR) partnerships,2023,Journal of Clinical and Translational Science,"['Hip', 'Ear', 'Research', 'Community-Based Participatory Research', 'Ships', 'Art', 'Feedback']"
"P. Paul Chandanabhumma, Ph.D., M.P.H.",51199344,Prevalence of Newborn Drug Testing and Variations by Birth Parent Race and Ethnicity at an Academic Medical Center,2023,Health care disparities,['Tin']
"P. Paul Chandanabhumma, Ph.D., M.P.H.",51199344,Care fragmentation predicts 90-day durable ventricular assist device outcomes.,2022,American Journal of Managed Care,[]
"P. Paul Chandanabhumma, Ph.D., M.P.H.",51199344,Incompleteness of health-related quality of life assessments before left ventricular assist device implant: A novel quality metric.,2022,The Journal of Heart and Lung Transplantation,[]
"P. Paul Chandanabhumma, Ph.D., M.P.H.",51199344,Correction: Understanding and Addressing Variation in Health Care–Associated Infections After Durable Ventricular Assist Device Therapy: Protocol for a Mixed Methods Study,2022,JMIR Research Protocols,['Infection']
"P. Paul Chandanabhumma, Ph.D., M.P.H.",51199344,Examining the influence of group diversity on the functioning of community-based participatory research partnerships: A mixed methods study.,2022,American Journal of Community Psychology,"['Hip', 'Ear', 'Research', 'Community-Based Participatory Research', 'Ships', 'Art']"
"P. Paul Chandanabhumma, Ph.D., M.P.H.",51199344,A CBPR-Enhanced Delphi Method: The Measurement Approaches to Partnership Success Case Study,2022,Health Education & Behavior,"['Hip', 'Art']"
"P. Paul Chandanabhumma, Ph.D., M.P.H.",51199344,Association Between Care Fragmentation and Total Spending After Durable Left Ventricular Device Implant: A Mediation Analysis of Health Care–Associated Infections Within a National Medicare-Society of Thoracic Surgeons Intermacs Linked Dataset,2022,Circulation. Cardiovascular Quality and Outcomes,"['Infection', 'Association', 'Ink', 'Medicare', 'Dataset']"
"P. Paul Chandanabhumma, Ph.D., M.P.H.",51199344,Missingness of Quality of Life Assessments Before Left Ventricular Assist Device Implant: A Novel Hospital Quality Metric,2022,The Journal of Heart and Lung Transplantation,[]
"P. Paul Chandanabhumma, Ph.D., M.P.H.",51199344,Mixed methods research: A primer for the vascular surgeon.,2022,Seminars in Vascular Surgery,"['Ear', 'Research']"
"P. Paul Chandanabhumma, Ph.D., M.P.H.",51199344,Mortality Following Durable Left Ventricular Assist Device Implant by Timing and Category of First Infection,2021,,['Infection']
"P. Paul Chandanabhumma, Ph.D., M.P.H.",51199344,A Scoping Review of Decolonization in Indigenous-Focused Health Education and Behavior Research,2021,Health Education & Behavior,"['Ear', 'Colon', 'Research', 'Education']"
"P. Paul Chandanabhumma, Ph.D., M.P.H.",51199344,Mortality following durable left ventricular assist device implantation by timing and type of first infection.,2021,Journal of Thoracic and Cardiovascular Surgery,['Infection']
"P. Paul Chandanabhumma, Ph.D., M.P.H.",51199344,Understanding diagnostic processes in emergency departments: a mixed methods case study protocol,2021,BMJ Open,['Art']
"P. Paul Chandanabhumma, Ph.D., M.P.H.",51199344,Space within the Scientific Discourse for the Voice of the Other? Expressions of Community Voice in the Scientific Discourse of Community-Based Participatory Research,2020,Health Communication,"['Ear', 'Research', 'Community-Based Participatory Research', 'Art']"
"P. Paul Chandanabhumma, Ph.D., M.P.H.",51199344,"A Participatory, Mixed Methods Approach to Define and Measure Partnership Synergy in Long-standing Equity-focused CBPR Partnerships.",2020,American Journal of Community Psychology,"['Hip', 'Ships', 'Art']"
"P. Paul Chandanabhumma, Ph.D., M.P.H.",51199344,Authorship Correction: Understanding and Addressing Variation in Health Care–Associated Infections After Durable Ventricular Assist Device Therapy: Protocol for a Mixed Methods Study,2020,JMIR Research Protocols,"['Hip', 'Infection']"
