Name,Title,Year,Journal,Type,Keywords,Abstract,DOI,Article Affiliation,ORCID,Scopus ID,Google Scholar ID
Alexandra Hart Targan Rosenberg,Brucellosis with pulmonary and spinal complications,2020.0,Consultant,Note,"pulmonary spinal, brucellosis pulmonary, spinal complications, brucellosis, spinal",,10.25270/con.2020.06.00007,University of Colorado School of Medicine,0000-0003-4121-9159,57226820918.0,
Alexandra Hart Targan Rosenberg,Taking Our Own Temperature: Using a Residency Climate Survey to Support Minority Voices,2022.0,Family Medicine,Article,"medicine residency, climate survey, residents faculty, resident faculty, minority voices, support minority, residency climate, lgbtq racial, climate, faculty diversity","2022, Society of Teachers of Family Medicine. All rights reserved.BACKGROUND AND OBJECTIVES: Recruitment of underrepresented minorities (URM) in medicine has risen to the forefront as a strategy to address health inequities, but the experiences of URM residents within their own programs are poorly understood. We describe the development and implementation of a diversity, equity, and inclusion (DEI) climate survey at our residency program, the results of which have informed our DEI efforts. METHODS: A resident-faculty work group collaboratively developed an 81-item questionnaire, informed by other institutional climate surveys. We administered the survey annually from 2018 through 2021 to all residents and faculty at our large academic family medicine residency program. The anonymous survey covered six key areas: general climate, climate for specific group, personal experience with discrimination and harassment, recruitment, burnout, and curriculum. RESULTS: Average response rates were 84% and 50% for residents and faculty, respectively. Survey results show low satisfaction with resident and faculty diversity; higher rates of burnout for respondents who self-identify as URM, persons of color (POC), and/or LGBTQ; and racial and gender differences in experiences of workplace discrimination and sexual harassment. CONCLUSIONS: Instituting an annual internal climate survey at our residency has provided invaluable information regarding the perspectives and experiences of our residents and faculty that has informed our DEI initiatives. We envision that our survey will inform continual improvement and serve as a model for similar introspection leading to meaningful action at other programs.",10.22454/FamMed.2022.344019,Denver Health,0000-0003-4121-9159,57226820918.0,
Alexandra Hart Targan Rosenberg,Family and Other Caregivers,2023.0,"Chronic Illness Care: Principles and Practice, Second Edition",Book Chapter,Caregiver; Chronic and disabling condition; Informal caregiver,"The Editor(s) (if applicable) and The Author(s), under exclusive license to Springer Nature Switzerland AG 2023.Informal caregiving, in which a friend or relative provides unpaid assistance to a person with a chronic or disabling condition, is an increasing need in the US, with an aging population and more than one in five persons identifying as caregivers. Caregiving can be rewarding, but can also be mentally, physically, and financially challenging. Tools that predict who may be at risk for caregiver burden and identify factors to protect against burden have been developed and validated. There are several public policies and technological advancements which aim to assist informal caregivers. A care recipient’s specific chronic or disabling condition can pose unique challenges for the caregiver. Understanding the nuances of various caregiving situations, including assessment of caregivers themselves, allows healthcare workers to best support informal caregivers in their crucial role in the healthcare system.",10.1007/978-3-031-29171-5_7,University of Michigan Medical School,0009-0006-2739-0602,57226820918.0,
Alexandra Hart Targan Rosenberg,Does a sex education curriculum decrease unintended pregnancy in adolescents compared with an abstinence curriculum?,2021.0,Evidence-Based Practice,Note,"pregnancy adolescents, sex education, abstinence, abstinence curriculum, compared abstinence",,10.1097/EBP.0000000000001051,University of Colorado Denver,0009-0006-2739-0602,57226820918.0,
Alisa Pantanakasame Young,Cervical cancer screening: Impact of collection technique on human papillomavirus detection and genotyping,2025.0,Preventive Medicine Reports,Article,Agreement.; Cervical cancer screening; Kappa.; Primary HPV screening.; Self-sampling.; Sensitivity.; Specificity.; Agreement.; Cervical cancer screening; Kappa.; Primary HPV screening.; Self-sampling.; Sensitivity.; Specificity.,"2025Background: The Food and Drug Administration (FDA) in the US approved primary human papillomavirus (HPV) testing for speculum-based cervical cancer screening ten years ago and, in May 2024, approved the self-collection technique. Our study defines the kappa agreement between self- and speculum-based collection techniques for 15 types of high-risk HPV. Additionally, we describe the sensitivity and specificity ratios for HPV testing using both collection methods. Methods: Participants recruited in 2020–2022 included 97 colposcopy attendees and 96 routine primary care screening attendees aged 30–65, who agreed to self-sample before their clinically scheduled speculum-based exam. Prevalence-based kappa calculated agreement, sensitivity and specificity ratios calculated accuracy using the cervical intraepithelial neoplasia grade 2 or worse (CIN 2+) threshold. Results: The average ages were 45.9 (SD 10.5) and 46.2 (SD 11.0) years for the colposcopy and primary care attendees, respectively. HPV 16, 68, and 39 were the most common types detected. The lower bound of the 95 % Cl for kappa calculations was above 0.81, indicating almost perfect agreement across all HPV genotypes. The sensitivity and specificity ratios were consistent at 1.0 across both collection methods. The HPV positivity rate was significantly higher among colposcopy attendees at 66 % (64/97), compared to 14 % (13/96) among routine primary care screeners. The study identified 17 women with CIN2 + . Conclusions: Primary HPV screening with self-collection is equivalent to speculum-based collection among people aged 30–65. The findings emphasize the utility of self-collection in identifying high-grade lesions and the consistency of HPV detection across different collection methods.",10.1016/j.pmedr.2025.102971,University of Michigan Medical School,0009-0002-1116-955X,55939874100.0,
Alisa Pantanakasame Young,Diseases of the pancreas,2016.0,Family Medicine: Principles and Practice,Book Chapter,"pancreatitis, diseases pancreas, pancreatitis pancreatic, pancreatic disease, pancreatic cysts, diseases, pancreas, pancreatic","Springer International Publishing Switzerland 2017.Pancreatic disease causes significant health issues ranging from pancreatitis and pancreatic cysts to cancer. To reduce this burden, family physicians need a systematic approach to evaluation and treatment.",10.1007/978-3-319-04414-9_96,University of Michigan Medical School,0009-0002-1116-955X,55939874100.0,
Alisa Pantanakasame Young,Impact of an electronic health record (EHR) reminder on human papillomavirus (HPV) vaccine initiation and timely completion,2015.0,Journal of the American Board of Family Medicine,Article,Papillomavirus vaccines; Vaccination; Papillomavirus vaccines; Vaccination,"2015, American Board of Family Medicine. All rights reserved.Background: The initiation and timely completion of the human papillomavirus (HPV) vaccine in young women is critical. We compared the initiation and completion of the HPV vaccine among women in 2 community-based networks with electronic health records: 1 with a prompt and reminder system (prompted cohort) and 1 without (unprompted cohort). Methods: Female patients aged 9 to 26 years seen between March 1, 2007, and January 25, 2010, were used as the retrospective cohort. Patient demographics and vaccination dates were extracted from the electronic health records. Results: Patients eligible for the vaccine included 6019 from the prompted cohort and 9096 from the unprompted cohort. Mean age at initiation was 17.3 years in the prompted cohort and 18.1 years in the unprompted cohort. Significantly more (P <.001) patients initiated the vaccine in the prompted cohort (34.9%) compared with the unprompted cohort (21.5%). African Americans aged 9 to 18 years with ≥3 visits during the observation period were significantly more likely to initiate in the prompted cohort (P <.001). The prompted cohort was significantly more likely (P <.001) to complete the vaccine series in a timely manner compared with the unprompted cohort. Conclusion: More patients aged 9 to 26 years initiated and achieved timely completion of the HPV vaccine series in clinics using an electronic health record system with prompts compared with clinics without prompts.",10.3122/jabfm.2015.03.140082,"University of Michigan, Ann Arbor",0009-0002-1116-955X,55939874100.0,
Alisa Pantanakasame Young,It Is Time to Switch to Primary HPV Screening for Cervical Cancer,2024.0,American Family Physician,Editorial,"primary hpv, cervical cancer, hpv, hpv screening, screening cervical",,,University of Michigan Medical School,0009-0002-1116-955X,55939874100.0,
Alisa Pantanakasame Young,Diagnosis and management of pancreatic cancer,2014.0,American Family Physician,Article,"pancreatic cancer, staging pancreatic, pancreatic resections, diagnosis, treatment pancreatic, resection pancreas, cancer, management pancreatic, pancreatic","Pancreatic cancer remains the fourth leading cause of cancer-related deaths in the United States. Risk factors include family history, smoking, chronic pancreatitis, obesity, diabetes mellitus, heavy alcohol use, and possible dietary factors. Because more than two-thirds of adenocarcinomas occur in the head of the pancreas, abdominal pain, jaundice, pruritus, dark urine, and acholic stools may be presenting symptoms. In symptomatic patients, the serum tumor marker cancer antigen 19-9 can be used to confirm the diagnosis and to predict prognosis and recurrence after resection. Pancreas protocol computed tomography is considered standard for the diagnosis and staging of pancreatic cancer. Although surgical resection is the only potentially curative treatment for pancreatic ductal adenocarcinomas, less than 20% of surgical candidates survive five years. The decision on resectability requires multidisciplinary consultation. Pancreatic resections should be performed at institutions that complete at least 15 of the surgeries annually. Postoperatively, use of gemcitabine or fluorouracil/leucovorin as adjuvant chemotherapy improves overall survival by several months. However, more than 80% of patients present with disease that is not surgically resectable. For patients with locally advanced or metastatic disease, chemoradiotherapy with gemcitabine or irinotecan provides clinical benefit and modest survival improvement. Palliation should address pain control, biliary and gastric outlet obstruction, malnutrition, thromboembolic disease, and depression. © 2014 American Academy of Family Physicians.",,Sidney Kimmel Medical College,0000-0001-8336-478X,55939874100.0,
Alisa Pantanakasame Young,Human papillomavirus (HPV) testing for normal cervical cytology in low-risk women aged 30-65 years by family physicians,2013.0,Journal of the American Board of Family Medicine,Article,Diagnostic use; Human papilloma virus DNA probes; Mass screening; Vaginal smears,"Purpose: The purpose of this study was to assess ordering of human papillomavirus (HPV) testing for normal cervical cytology among low-risk women aged 30 to 65 years. Methods: Audits of 833 cytology request forms for low-risk women completing a Papanicolaou smear, from January 2008 to April 2011, from 5 Michigan family medicine clinics determined HPV orders completed by the clinician performing the Papanicolaou smear. Multivariate logistic regression models examined differences in HPV test ordering by patient age at Papanicolaou test, provider status and sex, and clinic across sites. A Poisson regression model analyzed the annual number of HPV test orders over time. Results: Cytology requests were completed by 622 faculty (75%), 169 residents/fellows (20%), and 42 nurse practitioner/physician assistants (NP/PAs) (5%). HPV testing for any cytology result was ordered on 324 request forms (39%) by residents/fellows (48%), faculty (38%), and NP/PAs (10%). Female providers were twice as likely as men to order HPV testing for any cytology result across all clinics and provider statuses (P < .001). There were significant differences in HPV test ordering among clinics. Between 2008 and 2011 annual cytology requests increased 46%, including HPV testing for any cytology result after adjusting for faculty provider sex. Conclusion: HPV test ordering when cytology is collected varied by clinic and provider status and sex. HPV co-testing for any cytology result remains modest, but is increasing over time in these clinics.",10.3122/jabfm.2013.06.120260,Sidney Kimmel Medical College,0000-0001-8336-478X,55939874100.0,
Alisa Pantanakasame Young,Clinical utility of HPV testing in cervical cancer screening,2013.0,"Handbook on Human Papillomavirus: Prevalence, Detection and Management",Book Chapter,"testing cervical, hpv testing, hpv, cervical cancer, utility hpv, cytology testing, screening cervical","Cervical cancer remains the second most common cause of cancer death among women around the world. It has been recognized as a rare outcome of Human Papillomavirus (HPV), a common sexually transmitted infection. Persistent infection with high-risk oncogenic HPV types is a known cause of cervical cancer. The benefits of cytological screening for cervical cancer are well known. However, the necessary resources, infrastructure and technological expertise, together with the need for repeated screening at regular intervals, make cytological screening resource intense. HPV DNA testing is a viable alternative to cytological screening. With optimal testing systems, HPV DNA can be identified in nearly all specimens of invasive cervical cancer and in the vast majority (>95%) of the immediate cervical cancer precursors, namely high-grade squamous intraepithelial lesions (HSILs). HPV DNA testing has been shown to decrease cervical cancer mortality. In this chapter, the clinical utility of HPV DNA testing for cervical cancer will be reviewed with a focus on primary screening, combination with cytology (co-testing), triage for abnormal cytology, and post-treatment surveillance. The review focuses on cost and patient outcomes in a wide variety of resource settings, contrasting HPV testing to other screening strategies. Technology exists today, which could eradicate death from cervical cancer. It is time to act. © 2013 by Nova Science Publishers, Inc. All rights reserved.",,University of Michigan Medical School,0000-0001-8336-478X,55939874100.0,
Amal Othman,Smart Delivery of Monoclonal Antibodies from a Magnetic Responsive Microgel Nanocomposite,2021.0,ACS Appl Bio Mater,,Art,,10.1021/acsabm.1c00994.,,,,
Amal Othman,A Comparative Assessment of Arsenic Risks and the Nutritional Benefits of Fish Consumption in Kuwait: Arsenic Versus Omega 3-Fatty Acids,2017.0,Arch Environ Contam Toxicol,,Acids; Fatty Acids,,10.1007/s00244-016-0329-x.,,,,
Amal Othman,A Flexible Conductive Electrode Using Boronic-Acid Modified Carbon Dots,2023.0,Annu Int Conf IEEE Eng Med Biol Soc,,"electrode, carbon dots, flexible conductive, conductive electrode, electrode using",,10.1109/EMBC40787.2023.10341162,,,,
Amal Othman,A Microfluidic Cancer-on-Chip Platform Predicts Drug Response Using Organotypic Tumor Slice Culture,2022.0,Cancer Res,,Hip; Culture,,10.1158/0008-5472.CAN-21-0799.,,,,
Amal Othman,"A Phase IIb Study of ABT-494, a Selective JAK-1 Inhibitor, in Patients With Rheumatoid Arthritis and an Inadequate Response to Anti-Tumor Necrosis Factor Therapy",2016.0,Arthritis Rheumatol,,Rheum; Necrosis; Art,,10.1002/art.39801,,,,
Amal Othman,A Primary Care-Based Weight Navigation Program,2024.0,JAMA Netw Open,,"based weight, primary care, care based, navigation program, weight navigation",,10.1001/jamanetworkopen.2024.12192,,,,
Amal Othman,"A Randomized Trial to Assess the Efficacy and Safety of ABT-126, a Selective α7 Nicotinic Acetylcholine Receptor Agonist, in the Treatment of Cognitive Impairment in Schizophrenia",2016.0,Am J Psychiatry,,Tin; Schizophrenia; Safety,,10.1176/appi.ajp.2015.15010093.,,,,
Amal Othman,A Rapid Late Enhancement MRI Protocol Improves Differentiation between Brain Tumor Recurrence and Treatment-Related Contrast Enhancement of Brain Parenchyma,2022.0,Cancers (Basel),,Recurrence; Rain,,10.3390/cancers14225523,,,,
Amal Othman,A case series of α-thalassemia intermedia due to compound heterozygosity for Hb Adana [HBA2: c179G>A (or HBA1); p.Gly60Asp] with other α-thalassemias in Malay families,2014.0,Hemoglobin,,Thalassemia,,10.3109/03630269.2014.916720.,,,,
Amal Othman,A comparative study of robust tests for spread: asymmetric trimming strategies,2008.0,Br J Math Stat Psychol,,"spread asymmetric, trimming strategies, asymmetric trimming, tests spread, robust tests",,10.1348/000711008X299742.,,,,
Amal Othman,A comprehensive analysis of human gene expression profiles identifies stromal immunoglobulin κ C as a compatible prognostic marker in human solid tumors,2012.0,Clin Cancer Res,,Gene Expression,,10.1158/1078-0432.CCR-11-2210.,,,,
Amal Othman,A critical review on the use of potentiometric based biosensors for biomarkers detection,2021.0,Biosens Bioelectron,,"use potentiometric, based biosensors, biosensors biomarkers, potentiometric based, biomarkers detection",,10.1016/j.bios.2021.113252.,,,,
Amal Othman,A disposable optofluidic micro-transmission cell with tailorable length for Fourier-transform infrared spectroscopy of biological fluids,2024.0,Anal Methods,,Logic,,10.1039/d3ay01710a,,,,
Amal Othman,A novel plant-based-sea water culture media forin vitrocultivation andin siturecovery of the halophyte microbiome,2017.0,J Adv Res,,Culture Media; Culture,,10.1016/j.jare.2017.06.007.,,,,
Amal Othman,A reporting and analysis framework for structured evaluation of COVID-19 clinical and imaging data,2021.0,NPJ Digit Med,,Tin; Work,,10.1038/s41746-021-00439-y,,,,
Amal Othman,A review of advancements in humic acid removal: Insights into adsorption techniques and hybrid solutions,2024.0,Chemosphere,,"adsorption, adsorption techniques, acid removal, advancements humic, humic acid",,10.1016/j.chemosphere.2024.143373.,,,,
Amal Othman,A review of the treatment technologies for hexavalent chromium contaminated water,2023.0,Biometals,,Chromium,,10.1007/s10534-023-00512-x.,,,,
Amal Othman,"A weekly 35,000 IU vitamin D supplementation improves bone turnover markers in vitamin D deficient Saudi adolescent females",2017.0,Arch Osteoporos,,Vitamin D; Adolescent,,10.1007/s11657-017-0379-3,,,,
Amal Othman,"A weekly 35,000 IU vitamin D supplementation improves bone turnover markers in vitamin D-deficient Saudi adolescent females: response to comments by Ribaldone et al",2017.0,Arch Osteoporos,,Vitamin D; Adolescent; Comment,,10.1007/s11657-017-0399-z,,,,
Amal Othman,Adolescent idiopathic scoliosis. Is low melatonin a cause?,2000.0,Joint Bone Spine,,Melatonin; Adolescent,,,,,,
Amal Othman,Analysis of a Deep Learning-Based Superresolution Algorithm Tailored to Partial Fourier Gradient Echo Sequences of the Abdomen at 1.5 T: Reduction of Breath-Hold Time and Improvement of Image Quality,2022.0,Invest Radiol,,Ear; Learning; Time; Art,,10.1097/RLI.0000000000000825,,,,
Amal Othman,Ancestral allele of DNA polymerase gamma modifies antiviral tolerance,2024.0,Nature,,"polymerase gamma, dna polymerase, antiviral tolerance, modifies antiviral, allele dna",,10.1038/s41586-024-07260-z.,,,,
Amal Othman,Application of a Deep Learning Algorithm for Combined Super-Resolution and Partial Fourier Reconstruction Including Time Reduction in T1-Weighted Precontrast and Postcontrast Gradient Echo Imaging of Abdominopelvic MR Imaging,2022.0,Diagnostics (Basel),,Ear; Learning; Time; Art,,10.3390/diagnostics12102370,,,,
Amal Othman,Application of a Novel Iterative Denoising and Image Enhancement Technique in T1-Weighted Precontrast and Postcontrast Gradient Echo Imaging of the Abdomen: Improvement of Image Quality and Diagnostic Confidence,2021.0,Invest Radiol,,Image Enhancement,,10.1097/RLI.0000000000000746,,,,
Amal Othman,"Aquaculture industry: Supply and demand, best practices, effluent and its current issues and treatment technology",2021.0,J Environ Manage,,Dust; Culture; Technology,,10.1016/j.jenvman.2021.112271.,,,,
Amal Othman,Artificial intelligence-driven automation of nasoalveolar molding device planning: A systematic review,2024.0,J Prosthet Dent,,Intelligence; Artificial Intelligence; Automation; Art,,10.1016/j.prosdent.2024.09.011.,,,,
Amal Othman,Ascites of Unexplained Origin: A Case Report,2022.0,Cureus,,"ascites unexplained, unexplained origin, origin case, ascites, unexplained",,10.7759/cureus.23256.,,,,
Amal Othman,Assessment of the Relation Between Patterns of Third-Molar Impaction and Blood Group: A Retrospective Study,2023.0,Cureus,,Molar,,10.7759/cureus.45130.,,,,
Amal Othman,Assessment of the microbial electrochemical sensor (SENTRY™) as a potential wastewater quality monitoring tool for common pollutants found in Malaysia,2024.0,Environ Monit Assess,,Water Quality,,10.1007/s10661-024-12526-0,,,,
Amal Othman,Bacteremia caused by Rhizobium radiobacter in a preterm neonate,2014.0,Indian J Pediatr,,Rhizobium; Bacteremia,,10.1007/s12098-013-1012-0.,,,,
Amal Othman,Biodegradable polymers and their nano-composites for the removal of endocrine-disrupting chemicals (EDCs) from wastewater: A review,2021.0,Environ Res,,Tin; Polymers,,10.1016/j.envres.2021.111694.,,,,
Amal Othman,Burden of Illness of Type 2 Diabetes Mellitus in the Kingdom of Saudi Arabia: A Five-Year Longitudinal Study,2024.0,Adv Ther,,Ear; Diabetes Mellitus; Arabia,,10.1007/s12325-023-02772-y.,,,,
Amal Othman,"Can Whole-Body Baseline CT Radiomics Add Information to the Prediction of Best Response, Progression-Free Survival, and Overall Survival of Stage IV Melanoma Patients Receiving First-Line Targeted Therapy: A Retrospective Register Study",2023.0,Diagnostics (Basel),,Noma; Survival; Overall,,10. doi: 10.3390/diagnostics13203210,,,,
Amal Othman,Chemoprevention of rat mammary carcinogenesis by spirulina,2014.0,Am J Pathol,,Spirulina; Chemoprevention; Genes,,10.1016/j.ajpath.2013.10.025.,,,,
Amal Othman,Child Developmental Delays and Disorders: Speech and Language Delay,2021.0,FP essentials,,Language; Speech; Child Development; Child; Language; Speech; Child Development; Child,,,,,,15689902.0
Amal Othman,Cleft Lip and Palate Research Trends in Saudi Arabia: A Bibliometric Analysis,2024.0,Cureus,,Ear; Lip; Cleft Lip; Research; Arabia,,10.7759/cureus.52085.,,,,
Amal Othman,Clinical Outcomes of Diabetic Ketoacidosis in Type 2 Diabetes Patients with and without SGLT2 Inhibitor Treatment: A Retrospective Study,2023.0,Biomedicines,,Acidosis; Diabetic Ketoacidosis,,10.3390/biomedicines11102689,,,,
Amal Othman,"Clinical and radiological characteristics of mediastinal melioidosis: A four-year retrospective cohort from Sabah, Malaysia",2024.0,Respir Med,,Ear; Chara; Tics; Tin; Character; Logic,,10.1016/j.rmed.2024.107818.,,,,
Amal Othman,Clinical feasibility and validation of the accelerated T2 mapping sequence GRAPPATINI in brain imaging,2023.0,Heliyon,,Tin; Rain,,10.1016/j.heliyon.2023.e15064.,,,,
Amal Othman,Clinical-radiological features and diagnostic modalities for mediastinal melioidosis,2023.0,Int J Tuberc Lung Dis,,Tin; Logic,,10.5588/ijtld.23.0079,,,,
Amal Othman,Coexistence of a Nasopalatine Duct Cyst and Radicular Cyst: A Unique Clinical Presentation,2023.0,Cureus,,Radicular Cyst; Tin,,10.7759/cureus.46774.,,,,
Amal Othman,Comorbid conditions in Egyptian patients with migraine,2023.0,Neurol Res,,Rain,,10. doi: 10.1080/01616412.2023.2257418.,,,,
Amal Othman,Comparative Mechanical Testing for Digitally Produced Provisional Fixed Partial Dentures vs the Conventional Method: An In Vitro Study,2023.0,Int J Prosthodont,,Tin; Art,,10.11607/ijp.6440,,,,
Amal Othman,Complete chloroplast genome data forCryptocoryne elliptica(Araceae) from Peninsular Malaysia,2022.0,Data Brief,,Lip; Araceae,,10.1016/j.dib.2022.108075.,,,,
Amal Othman,Complete chloroplast genome of a montane plant Spathoglottis aurea Lindl.: Comparative analyses and phylogenetic relationships among members of tribe collabieae,2024.0,PLoS One,,Hip; Urea; Ships,,10.1371/journal.pone.0291888.,,,,
Amal Othman,Comprehending the disruptive influence of workplace gaslighting behaviours and mobbing on nurses' career entrenchment: A multi-centre inquiry,2024.0,J Adv Nurs,,Tin; Light; Work; Nurses; Workplace,,10.1111/jan.16368.,,,,
Amal Othman,Concurrent inflammation-related brain reorganization in multiple sclerosis and depression,2024.0,Brain Behav Immun,,Multiple Sclerosis; Inflammation; Rain,,10.1016/j.bbi.2024.05.015.,,,,
Amal Othman,Contemporary results of open thoracic and thoracoabdominal aortic surgery in a single United Kingdom center,2021.0,J Vasc Surg,,United Kingdom,,10.1016/j.jvs.2020.09.027.,,,,
